word,rank,frequency
the,1,226388
.,2,201922
to,3,134772
",",4,114727
!,5,102619
I,6,96085
in,7,85002
on,8,81661
a,9,79776
and,10,78252
of,11,69445
for,12,62628
's,13,56382
:,14,51207
you,15,51033
it,16,49098
...,17,49092
with,18,48109
tomorrow,19,46125
?,20,45770
at,21,44430
may,22,38169
``,23,37500
that,24,30073
my,25,26280
),26,24026
n't,27,23958
but,28,22338
this,29,21840
just,30,21432
he,31,20731
&,32,19824
be,33,19645
The,34,18864
out,35,18676
-,36,18607
me,37,18509
(,38,18487
not,39,17658
1st,40,16872
from,41,16747
about,42,15852
all,43,15816
up,44,15409
so,45,14974
live,46,14784
'm,47,14766
as,48,14671
like,49,14540
..,50,14250
follow,51,13119
we,52,12696
his,53,12474
by,54,12336
constitute,55,12152
2nd,56,12072
make_up,57,12004
cost,58,12001
if,59,11982
exist,60,11897
represent,61,11895
embody,62,11822
equal,63,11694
comprise,64,11650
personify,65,11559
will,66,10340
one,67,10332
is,68,10309
or,69,10278
Friday,70,10029
your,71,10008
today,72,9747
3rd,73,9642
now,74,9499
an,75,9030
tonight,76,8858
when,77,8832
they,78,8820
2,79,8438
new,80,8274
last,81,8221
get,82,7740
what,83,7692
',84,7665
It,85,7650
have,86,7631
Fri,87,7487
back,88,7448
good,89,7331
leave,90,7263
na,91,7236
after,92,7176
'll,93,6900
there,94,6867
still,95,6849
then,96,6718
If,97,6702
Monday,98,6589
off,99,6563
she,100,6557
who,101,6540
bequeath,102,6515
would,103,6492
more,104,6414
no,105,6333
Saturday,106,6266
3,107,6161
her,108,6066
We,109,6048
some,110,6048
first,111,6009
night,112,5996
4th,113,5971
him,114,5838
best,115,5826
i,116,5778
see,117,5708
Sunday,118,5701
next,119,5592
make,120,5547
our,121,5502
down,122,5497
us,123,5364
over,124,5342
only,125,5340
You,126,5334
how,127,5244
1,128,5227
This,129,5154
great,130,5153
here,131,5083
'',132,5046
're,133,4993
Mon,134,4982
Thursday,135,4880
Sat,136,4751
do,137,4746
gon,138,4680
day,139,4596
