word,rank,frequency
the,1,37733
.,2,33137
to,3,22462
",",4,19122
!,5,17104
I,6,15860
in,7,14154
on,8,13611
a,9,13282
and,10,13042
of,11,11575
for,12,10438
is,13,10309
's,14,9336
:,15,8527
you,16,8508
it,17,8183
...,18,8182
with,19,8019
be,20,7780
?,21,7630
at,22,7400
tomorrow,23,7080
may,24,6208
that,25,5013
have,26,4724
my,27,4380
'',28,4247
),29,4006
n't,30,3993
was,31,3846
but,32,3723
will,33,3660
this,34,3640
just,35,3572
he,36,3448
&,37,3304
The,38,3144
-,39,3102
me,40,3084
(,41,3082
going,42,3068
out,43,3016
not,44,2943
``,45,2844
1st,46,2812
from,47,2792
see,48,2712
day,49,2684
are,50,2657
Friday,51,2652
about,52,2642
all,53,2636
Sunday,54,2611
up,55,2564
night,56,2556
like,57,2514
so,58,2473
'm,59,2461
as,60,2446
..,61,2375
time,62,2329
do,63,2267
get,64,2195
we,65,2116
his,66,2079
by,67,2056
Saturday,68,2014
2nd,69,2012
if,70,1997
go,71,1841
has,72,1804
one,73,1781
i,74,1719
or,75,1713
Monday,76,1690
your,77,1668
can,78,1654
3rd,79,1607
game,80,1580
now,81,1554
an,82,1505
know,83,1479
when,84,1472
they,85,1470
want,86,1441
Day,87,1407
tonight,88,1388
2,89,1387
new,90,1379
today,91,1357
Thursday,92,1329
think,93,1283
what,94,1282
back,95,1276
It,96,1275
make,97,1261
',98,1253
na,99,1236
last,100,1221
got,101,1218
good,102,1208
after,103,1196
'll,104,1150
still,105,1135
there,106,1132
then,107,1118
If,108,1117
May,109,1104
she,110,1092
who,111,1090
would,112,1082
off,113,1081
more,114,1069
no,115,1034
been,116,1027
3,117,1023
David,118,1011
her,119,1011
We,120,1008
some,121,1008
watch,122,1005
4th,123,996
first,124,976
him,125,973
did,126,972
best,127,951
next,128,932
love,129,929
our,130,917
had,131,916
Tuesday,132,899
come,133,898
down,134,895
us,135,894
show,136,893
only,137,890
You,138,889
over,139,877
how,140,874
This,141,859
here,142,843
're,143,833
wait,144,807
said,145,796
Wednesday,146,781
gon,147,780
A,148,773
So,149,765
play,150,758
right,151,750
win,152,746
should,153,743
their,154,738
sun,155,737
take,156,732
1,157,731
morning,158,729
4,159,727
than,160,723
them,161,718
really,162,717
too,163,699
season,164,697
My,165,689
Tomorrow,166,684
Just,167,683
does,168,683
before,169,677
;,170,674
ca,171,670
great,172,668
people,173,667
He,174,664
because,175,661
sat,176,654
am,177,650
better,178,648
into,179,648
even,180,640
u,181,639
work,182,637
again,183,635
What,184,631
watching,185,629
coming,186,629
its,187,629
And,188,628
John,189,626
need,190,624
well,191,609
way,192,609
against,193,607
say,194,607
September,195,606
5th,196,602
$,197,601
've,198,596
*,199,590
5,200,589
were,201,583
New,202,581
much,203,581
could,204,581
hope,205,579
ever,206,576
tickets,207,570
Night,208,563
Happy,209,560
album,210,559
October,211,557
Paul,212,556
concert,213,555
since,214,549
I\u2019m,215,548
Big,216,546
same,217,544
George,218,539
In,219,539
July,220,536
10,221,532
live,222,530
Sox,223,525
Milan,224,523
lol,225,522
On,226,521
start,227,518
Do,228,505
birthday,229,503
RT,230,501
But,231,500
year,232,497
sure,233,497
never,234,492
why,235,489
made,236,487
home,237,485
White,238,484
November,239,484
Ice,240,480
set,241,479
thing,242,478
Kendrick,243,478
world,244,477
August,245,477
place,246,468
being,247,464
says,248,461
Frank,249,460
Sun,250,460
vs,251,459
movie,252,451
team,253,447
National,254,447
That,255,445
week,256,441
playing,257,440
man,258,439
getting,259,437
6th,260,436
Good,261,435
until,262,434
school,263,433
end,264,432
No,265,432
two,266,429
run,267,428
weekend,268,427
Black,269,426
most,270,420
Is,271,418
Red,272,418
look,273,418
January,274,417
via,275,416
ready,276,416
excited,277,414
big,278,411
Apple,279,411
Tom,280,411
Chris,281,410
any,282,408
West,283,401
Trump,284,398
video,285,397
very,286,395
give,287,395
other,288,394
7th,289,393
every,290,392
where,291,389
8th,292,387
life,293,386
through,294,383
happy,295,382
also,296,376
party,297,376
shit,298,375
They,299,373
days,300,372
went,301,372
miss,302,370
6,303,368
comes,304,367
already,305,367
top,306,366
Who,307,366
might,308,365
song,309,364
which,310,363
Obama,311,358
Justin,312,356
World,313,355
saw,314,353
Murray,315,351
everyone,316,350
guys,317,347
See,318,346
Super,319,344
Amazon,320,342
March,321,341
Come,322,341
Muslims,323,340
free,324,338
Sat,325,338
Kanye,326,338
years,327,337
How,328,337
Star,329,337
let,330,334
wan,331,334
'd,332,331
All,333,331
When,334,330
always,335,330
fans,336,329
left,337,328
yet,338,328
>,339,326
another,340,326
little,341,326
beat,342,325
7,343,325
grade,344,325
December,345,325
long,346,324
Johnson,347,323
anyone,348,322
Why,349,321
meet,350,321
<,351,320
9th,352,319
Jason,353,319
Not,354,318
D,355,318
bad,356,317
though,357,316
Christians,358,316
feel,359,314
One,360,313
doing,361,311
done,362,311
old,363,311
event,364,309
10th,365,308
seen,366,308
please,367,308
round,368,308
For,369,307
around,370,306
im,371,305
away,372,304
while,373,303
--,374,303
Nicki,375,303
something,376,299
half,377,298
Thor,378,297
match,379,296
fight,380,295
Real,381,293
hit,382,292
Kane,383,292
Brother,384,291
Rousey,385,291
Nov,386,290
Islam,387,290
Sam,388,289
Eid,389,289
tell,390,288
Madrid,391,288
8,392,286
Have,393,285
Rollins,394,285
news,395,285
thought,396,284
put,397,284
Sharknado,398,283
Today,399,283
April,400,282
Foo,401,281
Ed,402,280
gets,403,280
both,404,279
God,405,278
US,406,278
Niall,407,278
Dustin,408,278
many,409,278
buy,410,276
Fighters,411,276
actually,412,276
looking,413,274
find,414,273
Cube,415,273
Brady,416,273
Israel,417,273
during,418,273
Jackson,419,273
PS4,420,273
music,421,272
Will,422,272
Love,423,272
Watch,424,271
Iran,425,271
call,426,269
remember,427,269
won,428,268
Seth,429,267
Now,430,267
Did,431,266
real,432,266
open,433,266
Eagles,434,265
someone,435,265
class,436,265
Perry,437,264
Cena,438,263
Can,439,263
hours,440,263
Oct,441,263
fun,442,262
those,443,262
it\u2019s,444,262
wants,445,261
Wars,446,261
Brock,447,261
Park,448,261
%,449,261
face,450,260
forward,451,260
till,452,259
lead,453,259
looks,454,259
Yakub,455,259
Zayn,456,259
makes,457,258
Price,458,257
try,459,256
early,460,256
Smith,461,255
mean,462,254
Sheeran,463,253
Brown,464,253
came,465,253
12,466,252
Dunne,467,252
Shawn,468,251
Wright,469,250
Great,470,250
Lesnar,471,249
games,472,249
seeing,473,249
Bryant,474,249
Prime,475,249
Gucci,476,248
TV,477,248
support,478,246
Prince,479,246
Get,480,246
heard,481,246
few,482,246
Game,483,246
Gifford,484,245
2015,485,245
Sept,486,245
talk,487,244
episode,488,244
keep,489,244
hear,490,243
Ca,491,243
lot,492,243
Kris,493,243
having,494,242
help,495,242
Naruto,496,241
Taylor,497,241
believe,498,240
14th,499,240
things,500,239
Let,501,239
guy,502,238
Go,503,238
To,504,238
Hogan,505,238
|,506,237
Towns,507,237
Scott,508,237
Miss,509,237
Ant-Man,510,237
Paper,511,236
part,512,234
Curtis,513,234
Gandhi,514,234
watched,515,234
friends,516,233
march,517,231
Hot,518,231
starts,519,231
football,520,231
City,521,231
Charlie,522,230
[,523,230
chance,524,230
She,525,228
Jenner,526,228
true,527,228
family,528,227
wo,529,226
2012,530,226
Michael,531,225
There,532,225
June,533,224
probably,534,224
9,535,223
Hulk,536,223
w/,537,222
soon,538,222
Hope,539,222
times,540,222
USA,541,221
read,542,220
Walker,543,220
15,544,220
pretty,545,219
Kim,546,219
starting,547,219
these,548,218
deal,549,217
Dunkin,550,216
check,551,216
Oh,552,216
played,553,215
Aldean,554,215
friday,555,214
Live,556,214
Well,557,214
],558,214
Going,559,213
February,560,213
wish,561,212
Open,562,212
G,563,212
Kasich,564,212
Iron,565,212
Thanks,566,212
fan,567,212
between,568,210
talking,569,209
Here,570,209
Valentine,571,209
Lady,572,208
Donald,573,208
McCartney,574,208
bring,575,207
Football,576,206
late,577,206
n,578,205
amazing,579,205
Time,580,205
v,581,205
break,582,204
must,583,204
trying,584,204
Check,585,204
lost,586,203
As,587,203
Rahul,588,203
Chelsea,589,203
gay,590,203
UK,591,203
date,592,203
far,593,202
IRA,594,202
called,595,202
join,596,201
ticket,597,201
Harry,598,201
Jurassic,599,201
whole,600,201
Arsenal,601,201
stop,602,201
Are,603,200
final,604,200
Maiden,605,199
Last,606,199
vs.,607,199
Carly,608,198
Fiorina,609,198
film,610,197
Saudi,611,197
girl,612,197
Bieber,613,197
rest,614,197
taking,615,196
making,616,195
yesterday,617,195
Haram,618,195
saying,619,195
Best,620,195
black,621,195
cause,622,195
listening,623,194
With,624,194
11th,625,194
WWE,626,193
Boko,627,193
told,628,193
Mayweather,629,193
Blood,630,192
At,631,192
Caitlyn,632,192
ta,633,192
player,634,192
NFL,635,192
Lamar,636,191
11,637,191
Hebdo,638,191
tweet,639,191
head,640,190
person,641,190
Band,642,190
without,643,190
goes,644,190
ass,645,190
fuck,646,190
Joe,647,190
gone,648,190
State,649,189
30,650,189
London,651,189
Cream,652,188
Nirvana,653,188
Ocean,654,187
book,655,187
Evans,656,187
least,657,186
Floyd,658,186
under,659,186
Hey,660,186
13th,661,185
nice,662,185
due,663,185
line,664,185
finally,665,185
16,666,185
full,667,185
awesome,668,185
wins,669,185
THE,670,185
needs,671,184
phone,672,184
house,673,184
20th,674,184
release,675,183
Thank,676,183
wrong,677,182
released,678,182
Gaga,679,182
found,680,181
Galaxy,681,180
behind,682,180
/,683,180
else,684,180
fact,685,180
Halloween,686,179
move,687,179
debate,688,179
name,689,179
case,690,179
guess,691,179
Center,692,179
sunday,693,178
12th,694,178
hate,695,178
Dog,696,178
Anyone,697,177
announced,698,177
News,699,177
16th,700,176
York,701,176
job,702,176
bit,703,176
James,704,176
First,705,175
hot,706,175
Like,707,175
Show,708,175
Bad,709,175
Twilight,710,175
20,711,175
nothing,712,174
enough,713,174
sleep,714,174
available,715,174
hard,716,174
stay,717,174
Christmas,718,174
listen,719,174
18th,720,174
money,721,173
Jan,722,173
Birthday,723,173
After,724,173
House,725,172
25th,726,172
Tony,727,172
C'mon,728,172
saturday,729,172
fucking,730,171
friend,731,171
Man,732,171
started,733,171
forget,734,170
Bowie,735,170
Got,736,170
Arabia,737,170
bc,738,170
took,739,169
Allah,740,169
own,741,169
point,742,169
second,743,169
luck,744,169
U2,745,169
Of,746,169
use,747,168
Stone,748,167
stage,749,166
close,750,166
ask,751,166
15th,752,165
mom,753,165
single,754,165
17th,755,165
President,756,165
25,757,164
Still,758,164
I\u2019ll,759,164
myself,760,164
Souls,761,164
songs,762,163
baby,763,162
iPhone,764,162
maybe,765,162
Moto,766,162
Dark,767,161
band,768,161
monday,769,161
don\u2019t,770,161
sign,771,161
Watching,772,161
record,773,160
America,774,160
United,775,159
special,776,159
together,777,159
+,778,159
Rick,779,159
celebrate,780,159
bed,781,159
country,782,158
reason,783,158
follow,784,158
means,785,157
U,786,157
haha,787,157
everything,788,157
sad,789,157
Aug,790,157
happen,791,156
favorite,792,156
title,793,156
tour,794,156
hour,795,156
able,796,156
wanted,797,156
working,798,155
Google,799,155
return,800,154
Katy,801,154
care,802,154
stuff,803,154
death,804,154
Dec,805,153
vote,806,153
interested,807,153
Harper,808,152
boys,809,152
waiting,810,152
history,811,152
iPad,812,151
Im,813,151
Mike,814,151
pick,815,150
shot,816,150
Zac,817,150
Windows,818,150
cool,819,149
Netflix,820,149
enjoy,821,149
Josh,822,149
series,823,148
running,824,148
president,825,148
Bush,826,148
Oliseh,827,148
evening,828,147
Be,829,147
missed,830,147
19th,831,147
Our,832,147
Also,833,146
Labor,834,146
Please,835,146
thanks,836,146
Ryan,837,146
along,838,146
Me,839,146
thinking,840,146
leave,841,145
24,842,145
21st,843,145
oh,844,145
\u002c,845,144
13,846,144
BBC,847,144
marriage,848,143
instead,849,143
Tiger,850,143
17,851,143
goal,852,143
Looking,853,143
afternoon,854,143
coach,855,142
Amy,856,142
almost,857,142
ok,858,142
Dead,859,141
hell,860,141
30th,861,141
anything,862,141
14,863,140
worst,864,140
League,865,140
story,866,140
yes,867,140
Yoga,868,139
list,869,139
Then,870,139
post,871,138
Hillary,872,138
bought,873,138
Top,874,138
Blair,875,138
Briana,876,137
star,877,137
Osborne,878,136
Ted,879,136
kids,880,136
trip,881,136
Swift,882,135
race,883,135
Club,884,135
x,885,134
Kardashian,886,134
room,887,134
Sarah,888,134
anniversary,889,133
drop,890,133
son,891,133
Cole,892,133
Cameron,893,132
finish,894,132
winning,895,132
shows,896,132
Church,897,132
Beyonce,898,132
tho,899,132
PM,900,131
once,901,131
Some,902,131
Janet,903,131
dont,904,131
months,905,131
straight,906,131
moment,907,130
American,908,130
Hamilton,909,130
ago,910,130
change,911,130
can\u2019t,912,130
ur,913,129
spot,914,129
=,915,129
ahead,916,129
c'mon,917,129
movies,918,129
Sting,919,129
Note,920,129
boy,921,128
Join,922,128
ball,923,128
later,924,128
Xbox,925,128
side,926,128
dead,927,128
It\u2019s,928,127
Bobby,929,127
players,930,127
19,931,126
field,932,126
Madonna,933,126
drive,934,125
Woods,935,125
Batman,936,125
used,937,125
Your,938,125
gave,939,125
shirt,940,125
asked,941,125
past,942,124
Pope,943,124
Jeb,944,124
San,945,124
Bob,946,123
feeling,947,123
interview,948,123
Kerry,949,122
minutes,950,122
car,951,122
Party,952,122
mind,953,122
hits,954,122
Biden,955,122
row,956,121
Was,957,121
Its,958,121
Watchman,959,121
high,960,121
Hi,961,121
media,962,121
perfect,963,121
front,964,120
yeah,965,120
Make,966,120
22,967,120
hold,968,120
greatest,969,120
Festival,970,120
GOP,971,120
Rock,972,119
Beach,973,119
Rolling,974,119
Messi,975,119
Undertaker,976,119
Gay,977,119
Sony,978,119
Barca,979,118
meeting,980,118
100,981,118
seems,982,118
club,983,118
weeks,984,117
Yes,985,117
finished,986,117
Bernie,987,117
sale,988,117
turn,989,116
cover,990,116
18,991,116
Tory,992,116
23,993,116
lose,994,116
visit,995,116
proud,996,116
such,997,115
Nokia,998,115
kill,999,115
Louis,1000,115
takes,1001,115
points,1002,115
practice,1003,115
inning,1004,115
23rd,1005,115
girls,1006,115
50,1007,115
opening,1008,114
Eric,1009,114
