utterances,Core Relations
who plays luke on star wars new hope,movie.starring.actor_movie.starring.character
show credits for the godfather,movie.starring.actor
who was the main actor in the exorcist,movie.starring.actor
who played dory on finding nemo,movie.starring.actor_movie.starring.character
who was the female lead in resident evil,actor.gender_movie.starring.actor
who played guido in life is beautiful,movie.starring.actor_movie.starring.character
who was the co-star in shoot to kill,movie.starring.actor
find the guy who plays charlie on charlie's angels,movie.starring.actor_movie.starring.character
cast and crew of movie the campaign,movie.starring.actor
cast and crew of the campaign,movie.starring.actor
who plays in the movie the campaign,movie.starring.actor
who starred in the campaign,movie.starring.actor
who were the crew for the campaign,movie.starring.actor
who was the lead man in taxi driver,movie.starring.actor
star of twilight,movie.starring.actor
who stars in vulgaria,movie.starring.actor
what are the names of female actors who played in lost,actor.gender_movie.starring.actor
can i see the set list and cast for life is beautiful,movie.starring.actor
cast and crew of life is beautiful,movie.starring.actor
show cast and crew for the movie life is beautiful,movie.starring.actor
what's the cast for life is beautiful,movie.starring.actor
who played in life is beautiful,movie.starring.actor
who played in life is beautiful,movie.starring.actor
who was in life is beautiful,movie.starring.actor
who were roberto benigni's costars on life is beautiful,movie.starring.actor
i am looking for the actor that played in pretty women,movie.starring.actor
star of troy,movie.starring.actor
who played robin in batman forever,movie.starring.actor_movie.starring.character
find the male actor from dirty harry,actor.gender_movie.starring.actor
show me the actor of the ranam,movie.starring.actor
rocky actor,movie.starring.actor
what actor played in the amazing spider man,movie.starring.actor
who are the actors in captain america,movie.starring.actor
who starred in captain america,movie.starring.actor
who was in the movie captain america,movie.starring.actor
who were the cast members in the hobbist,movie.starring.actor
show me the actor of the movie varsham,movie.starring.actor
which female actors starred in hitch,actor.gender_movie.starring.actor
can i see the cast and crew for the movie in july,movie.starring.actor
list cast and crew in july,movie.starring.actor
who stars in in july,movie.starring.actor
who stars in in july,movie.starring.actor
roll credits for top gun,movie.starring.actor
show me the actor of the movie sirisiri muvva,movie.starring.actor
rocky 2 actor,movie.starring.actor
who is chewbakka,movie.starring.actor_movie.starring.character
who stared in i love lucy,movie.starring.actor
apollo thirteen cast members,movie.starring.actor
can you tell me more about the cast and crew of the movie apollo thirteen,movie.starring.actor
cast and crew for apollo thirteen,movie.starring.actor
castmembers of apollo thirteen,movie.starring.actor
complete cast and crew of apollo thirteen,movie.starring.actor
find for information about the cast of appolo thirteen,movie.starring.actor
find info on the crew of apollo thirteen,movie.starring.actor
give me more facts about the cast and crew of the movie apollo thirteen,movie.starring.actor
i need to know in detail about the cast and crew of the movie apollo thirteen,movie.starring.actor
i want to find information about the cast of apollo thirteen,movie.starring.actor
show me more information about the cast and crew of the movie apollo thirteen,movie.starring.actor
what actors were in dirty dancing,movie.starring.actor
show me the actors in captain america,movie.starring.actor
i can't remember the lead guy in the avengers,movie.starring.actor
show cast list for the avergers,movie.starring.actor
who plays nemo in finding nemo,movie.starring.actor_movie.starring.character
find cast and crew for the movie finding nemo,movie.starring.actor
show me the cast and crew for finding nemo,movie.starring.actor
